Macro Name,Directive,File,Line,Occurrences
ADAFRUIT_CC3000_CS,#define ADAFRUIT_CC3000_CS   8,src/BlynkSimpleTinyDuino.h,23,1
ADAFRUIT_CC3000_IRQ,#define ADAFRUIT_CC3000_IRQ  2,src/BlynkSimpleTinyDuino.h,21,1
ADAFRUIT_CC3000_VBAT,#define ADAFRUIT_CC3000_VBAT A3,src/BlynkSimpleTinyDuino.h,22,1
APP_DEBUG,#define APP_DEBUG,examples/Blynk.Edgent/Edgent_ESP32/Edgent_ESP32.ino,32,3
BLE_DEVICE_NAME,"#define BLE_DEVICE_NAME            ""Blynk""",src/BlynkSimpleRedBear_Duo_BLE.h,42,1
BLE_PERIPHERAL_APPEARANCE,#define BLE_PERIPHERAL_APPEARANCE  BLE_APPEARANCE_UNKNOWN,src/BlynkSimpleRedBear_Duo_BLE.h,40,1
BLYNKEVERYN_H,#define BLYNKEVERYN_H,src/Blynk/BlynkEveryN.h,3,1
BLYNKTIMER_H,#define BLYNKTIMER_H,src/Blynk/BlynkTimer.h,30,1
BLYNK_ASSERT,"#define BLYNK_ASSERT(expr)   { if(!(expr)) { BLYNK_LOG2(BLYNK_F(""Assertion failed: ""), BLYNK_F(#expr)); BLYNK_DBG_BREAK() } }",src/Blynk/BlynkDebug.h,97,4
BLYNK_ATTACH_WIDGET,"#define BLYNK_ATTACH_WIDGET(widget, pin) \",src/Blynk/BlynkWidgetBase.h,58,1
BLYNK_ATTR_PACKED,#define BLYNK_ATTR_PACKED     __attribute__ ((__packed__)),src/Blynk/BlynkHelpers.h,47,1
BLYNK_BLUE,"#define BLYNK_BLUE      ""#04C0F8""",examples/More/SetProperty/SetProperty_SingleValue/SetProperty_SingleValue.ino,40,2
BLYNK_BUFFERS_SIZE,#define BLYNK_BUFFERS_SIZE 1024,src/Blynk/BlynkDetectDevice.h,82,32
BLYNK_CONCAT,"#define BLYNK_CONCAT(a, b)    a ## b",src/Blynk/BlynkHelpers.h,39,1
BLYNK_CONCAT2,"#define BLYNK_CONCAT2(a, b)   BLYNK_CONCAT(a, b)",src/Blynk/BlynkHelpers.h,40,1
BLYNK_CONNECTED,#define BLYNK_CONNECTED()    void BlynkOnConnected(),src/Blynk/BlynkHandlers.h,177,1
BLYNK_CONSOLE_INPUT_BUFFER,#define BLYNK_CONSOLE_INPUT_BUFFER 256,src/Blynk/BlynkConsole.h,18,1
BLYNK_CONSOLE_MAX_COMMANDS,#define BLYNK_CONSOLE_MAX_COMMANDS 64,src/Blynk/BlynkConsole.h,17,1
BLYNK_CONSOLE_USE_STREAM,#define BLYNK_CONSOLE_USE_STREAM,src/Blynk/BlynkConsole.h,19,1
BLYNK_CONSTRUCTOR,#define BLYNK_CONSTRUCTOR     __attribute__ ((constructor)),src/Blynk/BlynkHelpers.h,51,1
BLYNK_COUNT_OF,#define BLYNK_COUNT_OF(x)     ((sizeof(x)/sizeof(0[x])) / ((size_t)(!(sizeof(x) % sizeof(0[x]))))),src/Blynk/BlynkHelpers.h,45,1
BLYNK_DARK_BLUE,"#define BLYNK_DARK_BLUE ""#5F7CD8""",examples/More/SetProperty/SetProperty_SingleValue/SetProperty_SingleValue.ino,43,2
BLYNK_DBG_BREAK,#define BLYNK_DBG_BREAK()    { for(;;); },src/Blynk/BlynkDebug.h,96,4
BLYNK_DBG_DUMP,"#define BLYNK_DBG_DUMP(msg, addr, len)",src/Blynk/BlynkDebug.h,257,1
BLYNK_DEBUG,#define BLYNK_DEBUG,src/Blynk/BlynkDebug.h,57,1
BLYNK_DECODE_PIN,#define BLYNK_DECODE_PIN(it) (((it).asStr()[0] == 'A') ? analogInputToDigitalPin(atoi((it).asStr()+1)) : (it).asInt()),linux/BlynkApiWiringPi.h,67,8
BLYNK_DEFAULT_DOMAIN,"#define BLYNK_DEFAULT_DOMAIN     ""blynk.cloud""",src/Blynk/BlynkConfig.h,19,1
BLYNK_DEFAULT_PORT,#define BLYNK_DEFAULT_PORT       80,src/Blynk/BlynkConfig.h,20,1
BLYNK_DEFAULT_PORT_SSL,#define BLYNK_DEFAULT_PORT_SSL   443,src/Blynk/BlynkConfig.h,21,1
BLYNK_DEPRECATED,#define BLYNK_DEPRECATED      __attribute__ ((deprecated)),src/Blynk/BlynkHelpers.h,50,1
BLYNK_DISCONNECTED,#define BLYNK_DISCONNECTED() void BlynkOnDisconnected(),src/Blynk/BlynkHandlers.h,178,1
BLYNK_ESP8266_MUX,#define BLYNK_ESP8266_MUX  1,src/BlynkSimpleShieldEsp8266.h,23,1
BLYNK_EVERY_N_HOURS,"#define BLYNK_EVERY_N_HOURS(N)   BLYNK_EVERY_N_HOURS_I(BLYNK_CONCAT2(PER, __COUNTER__),N)",src/Blynk/BlynkEveryN.h,67,1
BLYNK_EVERY_N_HOURS_I,"#define BLYNK_EVERY_N_HOURS_I(NAME,N)   static BlynkEveryNHours NAME(N); if(NAME)",src/Blynk/BlynkEveryN.h,62,1
BLYNK_EVERY_N_MILLIS,"#define BLYNK_EVERY_N_MILLIS(N)  BLYNK_EVERY_N_MILLIS_I(BLYNK_CONCAT2(PER, __COUNTER__),N)",src/Blynk/BlynkEveryN.h,64,1
BLYNK_EVERY_N_MILLIS_I,"#define BLYNK_EVERY_N_MILLIS_I(NAME,N)  static BlynkEveryNMillis NAME(N); if(NAME)",src/Blynk/BlynkEveryN.h,59,1
BLYNK_EVERY_N_MINUTES,"#define BLYNK_EVERY_N_MINUTES(N) BLYNK_EVERY_N_MINUTES_I(BLYNK_CONCAT2(PER, __COUNTER__),N)",src/Blynk/BlynkEveryN.h,66,1
