Directive,File,Line Number,Description
"#include ""Settings.h""",examples/Blynk.Edgent/Edgent_ESP32/BlynkEdgent.h,7,Includes the contents of a file (Settings.h)
#include <BlynkSimpleEsp32_SSL.h>,examples/Blynk.Edgent/Edgent_ESP32/BlynkEdgent.h,8,Includes the contents of a file (BlynkSimpleEsp32_SSL.h)
#if defined(BLYNK_USE_LITTLEFS),examples/Blynk.Edgent/Edgent_ESP32/BlynkEdgent.h,10,Conditional compilation - evaluates compile-time expression - defined(BLYNK_USE_LITTLEFS)
#include <LittleFS.h>,examples/Blynk.Edgent/Edgent_ESP32/BlynkEdgent.h,11,Includes the contents of a file (LittleFS.h)
#define BLYNK_FS LittleFS,examples/Blynk.Edgent/Edgent_ESP32/BlynkEdgent.h,12,Defines a macro or constant (BLYNK_FS)
#elif defined(BLYNK_USE_SPIFFS),examples/Blynk.Edgent/Edgent_ESP32/BlynkEdgent.h,13,Else-if for conditional compilation
#if defined(ESP32),examples/Blynk.Edgent/Edgent_ESP32/BlynkEdgent.h,14,Conditional compilation - evaluates compile-time expression - defined(ESP32)
#include <SPIFFS.h>,examples/Blynk.Edgent/Edgent_ESP32/BlynkEdgent.h,15,Includes the contents of a file (SPIFFS.h)
#elif defined(ESP8266),examples/Blynk.Edgent/Edgent_ESP32/BlynkEdgent.h,16,Else-if for conditional compilation
#include <FS.h>,examples/Blynk.Edgent/Edgent_ESP32/BlynkEdgent.h,17,Includes the contents of a file (FS.h)
#endif,examples/Blynk.Edgent/Edgent_ESP32/BlynkEdgent.h,18,Ends conditional compilation block
#define BLYNK_FS SPIFFS,examples/Blynk.Edgent/Edgent_ESP32/BlynkEdgent.h,19,Defines a macro or constant (BLYNK_FS)
#endif,examples/Blynk.Edgent/Edgent_ESP32/BlynkEdgent.h,20,Ends conditional compilation block
#ifndef BLYNK_NEW_LIBRARY,examples/Blynk.Edgent/Edgent_ESP32/BlynkEdgent.h,22,Conditional compilation - evaluates compile-time expression - ndef BLYNK_NEW_LIBRARY
"#error ""Old version of Blynk library is in use. Please replace it with the new one.""",examples/Blynk.Edgent/Edgent_ESP32/BlynkEdgent.h,23,"Generates a compilation error with a message: ""Old version of Blynk library is in use. Please replace it with the new one."""
#endif,examples/Blynk.Edgent/Edgent_ESP32/BlynkEdgent.h,24,Ends conditional compilation block
#if !defined(BLYNK_TEMPLATE_NAME) && defined(BLYNK_DEVICE_NAME),examples/Blynk.Edgent/Edgent_ESP32/BlynkEdgent.h,26,Conditional compilation - evaluates compile-time expression - !defined(BLYNK_TEMPLATE_NAME) && defined(BLYNK_DEVICE_NAME)
#define BLYNK_TEMPLATE_NAME BLYNK_DEVICE_NAME,examples/Blynk.Edgent/Edgent_ESP32/BlynkEdgent.h,27,Defines a macro or constant (BLYNK_TEMPLATE_NAME)
#endif,examples/Blynk.Edgent/Edgent_ESP32/BlynkEdgent.h,28,Ends conditional compilation block
#if !defined(BLYNK_TEMPLATE_ID) || !defined(BLYNK_TEMPLATE_NAME),examples/Blynk.Edgent/Edgent_ESP32/BlynkEdgent.h,30,Conditional compilation - evaluates compile-time expression - !defined(BLYNK_TEMPLATE_ID) || !defined(BLYNK_TEMPLATE_NAME)
"#error ""Please specify your BLYNK_TEMPLATE_ID and BLYNK_TEMPLATE_NAME""",examples/Blynk.Edgent/Edgent_ESP32/BlynkEdgent.h,31,"Generates a compilation error with a message: ""Please specify your BLYNK_TEMPLATE_ID and BLYNK_TEMPLATE_NAME"""
#endif,examples/Blynk.Edgent/Edgent_ESP32/BlynkEdgent.h,32,Ends conditional compilation block
#if defined(BLYNK_AUTH_TOKEN),examples/Blynk.Edgent/Edgent_ESP32/BlynkEdgent.h,34,Conditional compilation - evaluates compile-time expression - defined(BLYNK_AUTH_TOKEN)
"#error ""BLYNK_AUTH_TOKEN is assigned automatically when using Blynk.Edgent, please remove it from the configuration""",examples/Blynk.Edgent/Edgent_ESP32/BlynkEdgent.h,35,"Generates a compilation error with a message: ""BLYNK_AUTH_TOKEN is assigned automatically when using Blynk.Edgent, please remove it from the configuration"""
#endif,examples/Blynk.Edgent/Edgent_ESP32/BlynkEdgent.h,36,Ends conditional compilation block
"#include ""BlynkState.h""",examples/Blynk.Edgent/Edgent_ESP32/BlynkEdgent.h,40,Includes the contents of a file (BlynkState.h)
"#include ""ConfigStore.h""",examples/Blynk.Edgent/Edgent_ESP32/BlynkEdgent.h,41,Includes the contents of a file (ConfigStore.h)
"#include ""ResetButton.h""",examples/Blynk.Edgent/Edgent_ESP32/BlynkEdgent.h,42,Includes the contents of a file (ResetButton.h)
"#include ""ConfigMode.h""",examples/Blynk.Edgent/Edgent_ESP32/BlynkEdgent.h,43,Includes the contents of a file (ConfigMode.h)
"#include ""Indicator.h""",examples/Blynk.Edgent/Edgent_ESP32/BlynkEdgent.h,44,Includes the contents of a file (Indicator.h)
"#include ""OTA.h""",examples/Blynk.Edgent/Edgent_ESP32/BlynkEdgent.h,45,Includes the contents of a file (OTA.h)
"#include ""Console.h""",examples/Blynk.Edgent/Edgent_ESP32/BlynkEdgent.h,46,Includes the contents of a file (Console.h)
#ifdef BLYNK_PRINT,examples/Blynk.Edgent/Edgent_ESP32/BlynkEdgent.h,62,Conditional compilation - evaluates compile-time expression - def BLYNK_PRINT
#endif,examples/Blynk.Edgent/Edgent_ESP32/BlynkEdgent.h,78,Ends conditional compilation block
